,hight,weight,c
0,5.94,148.5,1
1,9.96,249.00000000000003,1
2,3.04,76.0,1
3,8.81,220.25,1
4,7.59,189.75,1
5,4.67,116.75,1
6,6.52,163.0,1
7,7.68,192.0,1
8,8.38,209.50000000000003,1
9,5.49,137.25,1
10,3.21,80.25,1
11,4.14,103.49999999999999,1
12,7.78,194.5,1
13,4.4,110.00000000000001,1
14,6.84,171.0,1
15,7.32,183.0,1
16,6.82,170.5,1
17,3.8,95.0,1
18,7.57,189.25,1
19,9.13,228.25000000000003,1
20,3.11,77.75,1
21,4.52,112.99999999999999,1
22,6.08,152.0,1
23,7.63,190.75,1
24,5.05,126.25,1
25,8.37,209.24999999999997,1
26,4.27,106.74999999999999,1
27,8.85,221.25,1
28,6.84,171.0,1
29,7.44,186.0,1
30,9.43,235.75,1
31,7.34,183.5,1
32,4.27,106.74999999999999,1
33,4.54,113.5,1
34,3.5,87.5,1
35,4.15,103.75000000000001,1
36,3.08,77.0,1
37,8.95,223.74999999999997,1
38,5.66,141.5,1
39,5.65,141.25,1
40,3.18,79.5,1
41,8.8,220.00000000000003,1
42,3.22,80.5,1
43,6.58,164.5,1
44,6.53,163.25,1
45,8.23,205.75,1
46,3.12,78.0,1
47,6.46,161.5,1
48,7.11,177.75,1
49,4.24,106.0,1
50,9.87,246.74999999999997,1
51,3.91,97.75,1
52,5.83,145.75,1
53,5.26,131.5,1
54,3.03,75.75,1
55,6.82,170.5,1
56,6.21,155.25,1
57,6.24,156.0,1
58,7.54,188.5,1
59,6.1,152.5,1
60,6.06,151.5,1
61,3.88,97.0,1
62,3.35,83.75,1
63,7.51,187.75,1
64,6.85,171.25,1
65,7.02,175.5,1
66,4.29,107.25,1
67,9.37,234.24999999999997,1
68,8.21,205.25000000000003,1
69,5.8,145.0,1
70,8.14,203.5,1
71,4.18,104.5,1
72,5.82,145.5,1
73,5.87,146.75,1
74,3.5,87.5,1
75,7.82,195.5,1
76,7.45,186.25,1
77,3.35,83.75,1
78,3.5,87.5,1
79,8.56,214.0,1
80,9.74,243.5,1
81,5.54,138.5,1
82,6.55,163.75,1
83,9.08,227.0,1
84,3.69,92.25,1
85,6.55,163.75,1
86,9.36,234.0,1
87,7.28,182.0,1
88,7.21,180.25,1
89,8.91,222.75,1
90,7.55,188.75,1
91,7.11,177.75,1
92,7.26,181.5,1
93,5.03,125.75,1
94,4.67,116.75,1
95,8.93,223.25,1
96,6.08,152.0,1
97,3.25,81.25,1
98,3.29,82.25,1
99,5.86,146.5,1
100,7.88,197.0,1
101,6.5,162.5,1
102,5.34,133.5,1
103,3.49,87.25,1
104,6.99,174.75,1
105,5.57,139.25,1
106,4.05,101.25,1
107,4.05,101.25,1
108,7.6,190.0,1
109,3.91,97.75,1
110,6.6,165.0,1
111,9.94,248.5,1
112,3.13,78.25,1
113,4.1,102.49999999999999,1
114,3.81,95.25,1
115,3.3,82.5,1
116,4.03,100.75,1
117,4.15,103.75000000000001,1
118,7.42,185.5,1
119,9.54,238.49999999999997,1
120,7.23,180.75,1
121,7.19,179.75,1
122,9.12,227.99999999999997,1
123,7.73,193.25,1
124,6.73,168.25,1
125,4.11,102.75000000000001,1
126,5.79,144.75,1
127,7.69,192.25,1
128,6.81,170.25,1
129,6.24,156.0,1
130,8.64,216.0,1
131,3.58,89.5,1
132,5.62,140.5,1
133,7.63,190.75,1
134,8.72,218.00000000000003,1
135,7.94,198.5,1
136,7.87,196.75,1
137,4.69,117.25000000000001,1
138,4.84,121.0,1
139,3.94,98.5,1
140,9.64,241.0,1
141,8.23,205.75,1
142,3.97,99.25,1
143,6.12,153.0,1
144,8.52,213.0,1
145,8.13,203.25000000000003,1
146,4.33,108.25,1
147,7.57,189.25,1
148,6.94,173.5,1
149,7.92,198.0,1
150,5.57,139.25,1
151,3.79,94.75,1
152,8.61,215.25,1
153,8.2,204.99999999999997,1
154,7.47,186.75,1
155,9.54,238.49999999999997,1
156,9.57,239.25,1
157,8.69,217.25,1
158,9.79,244.74999999999997,1
159,5.13,128.25,1
160,8.75,218.75,1
161,3.32,83.0,1
162,9.86,246.5,1
163,5.48,137.0,1
164,7.52,188.0,1
165,7.77,194.25,1
166,3.59,89.75,1
167,9.25,231.25,1
168,3.0,75.0,1
169,3.87,96.75,1
170,9.88,247.00000000000003,1
171,4.69,117.25000000000001,1
172,4.63,115.75,1
173,5.61,140.25,1
174,9.17,229.25,1
175,4.42,110.5,1
176,9.09,227.25,1
177,4.89,122.24999999999999,1
178,7.47,186.75,1
179,3.57,89.25,1
180,6.88,172.0,1
181,8.42,210.5,1
182,8.52,213.0,1
183,3.59,89.75,1
184,5.26,131.5,1
185,7.68,192.0,1
186,6.73,168.25,1
187,8.56,214.0,1
188,9.23,230.75,1
189,9.16,229.0,1
190,4.73,118.25000000000001,1
191,5.0,125.0,1
192,8.1,202.5,1
193,4.17,104.25,1
194,4.99,124.75,1
195,6.16,154.0,1
196,9.98,249.5,1
197,4.03,100.75,1
198,6.7,167.5,1
199,6.31,157.75,1
200,4.05,101.25,1
201,5.44,136.0,1
202,8.36,209.0,1
203,3.2,80.0,1
204,8.34,208.5,1
205,4.32,108.0,1
206,9.53,238.24999999999997,1
207,5.26,131.5,1
208,8.74,218.5,1
209,6.5,162.5,1
210,4.52,112.99999999999999,1
211,5.53,138.25,1
212,3.54,88.5,1
213,5.1,127.49999999999999,1
214,9.74,243.5,1
215,4.23,105.75000000000001,1
216,6.06,151.5,1
217,6.82,170.5,1
218,5.82,145.5,1
219,4.22,105.5,1
220,7.9,197.5,1
221,6.03,150.75,1
222,6.67,166.75,1
223,3.28,82.0,1
224,3.91,97.75,1
225,6.07,151.75,1
226,6.0,150.0,1
227,3.66,91.5,1
228,9.49,237.25,1
229,6.48,162.0,1
230,9.3,232.50000000000003,1
231,5.38,134.5,1
232,6.66,166.5,1
233,9.15,228.75,1
234,9.38,234.50000000000003,1
235,8.61,215.25,1
236,6.59,164.75,1
237,6.69,167.25,1
238,7.41,185.25,1
239,7.21,180.25,1
240,4.15,103.75000000000001,1
241,3.14,78.5,1
242,7.88,197.0,1
243,9.13,228.25000000000003,1
244,9.86,246.5,1
245,6.12,153.0,1
246,6.41,160.25,1
247,9.15,228.75,1
248,3.58,89.5,1
249,9.72,243.00000000000003,1
250,8.81,220.25,1
251,7.68,192.0,1
252,5.34,133.5,1
253,7.74,193.5,1
254,4.03,100.75,1
255,3.1,77.5,1
256,6.86,171.5,1
257,7.69,192.25,1
258,3.74,93.5,1
259,4.23,105.75000000000001,1
260,6.93,173.25,1
261,7.92,198.0,1
262,6.11,152.75,1
263,8.37,209.24999999999997,1
264,7.04,176.0,1
265,8.76,219.0,1
266,7.23,180.75,1
267,4.25,106.25,1
268,7.59,189.75,1
269,5.49,137.25,1
270,9.2,229.99999999999997,1
271,4.9,122.50000000000001,1
272,5.06,126.49999999999999,1
273,6.12,153.0,1
274,7.17,179.25,1
275,9.08,227.0,1
276,8.22,205.50000000000003,1
277,9.66,241.5,1
278,8.13,203.25000000000003,1
279,3.88,97.0,1
280,7.74,193.5,1
281,8.92,223.0,1
282,3.81,95.25,1
283,9.15,228.75,1
284,5.12,128.0,1
285,9.36,234.0,1
286,7.45,186.25,1
287,4.27,106.74999999999999,1
288,7.75,193.75,1
289,8.11,202.75,1
