,hight,weight,c
0,5.73,143.25,1
1,7.15,178.75,1
2,9.19,229.75,1
3,8.75,218.75,1
4,9.67,241.75,1
5,8.45,211.24999999999997,1
6,8.44,211.0,1
7,6.42,160.5,1
8,8.03,200.74999999999997,1
9,9.55,238.75000000000003,1
10,6.94,173.5,1
11,8.7,217.49999999999997,1
12,5.47,136.75,1
13,3.88,97.0,1
14,3.42,85.5,1
15,8.51,212.75,1
16,4.88,122.0,1
17,3.69,92.25,1
18,4.37,109.25,1
19,6.2,155.0,1
20,4.53,113.25,1
21,9.93,248.25,1
22,6.22,155.5,1
23,7.35,183.75,1
24,4.76,119.0,1
25,4.81,120.24999999999999,1
26,7.94,198.5,1
27,3.04,76.0,1
28,3.03,75.75,1
29,7.54,188.5,1
30,5.53,138.25,1
31,4.29,107.25,1
32,7.7,192.5,1
33,4.65,116.25000000000001,1
34,9.47,236.75000000000003,1
35,4.38,109.5,1
36,3.62,90.5,1
37,8.59,214.75,1
38,3.69,92.25,1
39,8.7,217.49999999999997,1
40,3.78,94.5,1
41,5.11,127.75000000000001,1
42,6.23,155.75,1
43,7.03,175.75,1
44,7.34,183.5,1
45,6.91,172.75,1
46,4.73,118.25000000000001,1
47,7.77,194.25,1
48,5.9,147.5,1
49,5.11,127.75000000000001,1
50,3.7,92.5,1
51,3.46,86.5,1
52,5.6,140.0,1
53,4.37,109.25,1
54,3.55,88.75,1
55,7.8,195.0,1
56,3.17,79.25,1
57,5.61,140.25,1
58,9.71,242.75000000000003,1
59,9.98,249.5,1
60,3.77,94.25,1
61,8.01,200.25,1
62,3.64,91.0,1
63,3.8,95.0,1
64,7.49,187.25,1
65,7.21,180.25,1
66,9.51,237.75,1
67,7.87,196.75,1
68,4.66,116.5,1
69,3.11,77.75,1
70,3.98,99.5,1
71,9.48,237.0,1
72,7.37,184.25,1
73,7.4,185.0,1
74,8.98,224.5,1
75,9.28,231.99999999999997,1
76,4.76,119.0,1
77,7.09,177.25,1
78,5.79,144.75,1
79,7.14,178.5,1
80,8.38,209.50000000000003,1
81,3.47,86.75,1
82,5.43,135.75,1
83,5.1,127.49999999999999,1
84,4.01,100.25,1
85,3.68,92.0,1
86,5.21,130.25,1
87,3.25,81.25,1
88,7.52,188.0,1
89,7.34,183.5,1
90,5.73,143.25,1
91,6.39,159.75,1
92,3.1,77.5,1
93,4.87,121.75,1
94,8.92,223.0,1
95,9.44,236.0,1
96,6.61,165.25,1
97,8.72,218.00000000000003,1
98,7.54,188.5,1
99,5.94,148.5,1
100,6.59,164.75,1
101,5.73,143.25,1
102,4.28,107.0,1
103,6.33,158.25,1
104,6.88,172.0,1
105,8.51,212.75,1
106,6.5,162.5,1
107,6.61,165.25,1
108,4.48,112.00000000000001,1
109,3.65,91.25,1
110,8.79,219.74999999999997,1
111,6.42,160.5,1
112,6.86,171.5,1
113,8.77,219.25,1
114,9.0,225.0,1
115,8.09,202.25,1
116,4.42,110.5,1
117,3.95,98.75,1
118,8.62,215.49999999999997,1
119,3.8,95.0,1
120,7.53,188.25,1
121,3.41,85.25,1
122,9.16,229.0,1
123,4.26,106.5,1
124,7.71,192.75,1
125,4.31,107.74999999999999,1
126,8.46,211.50000000000003,1
127,7.51,187.75,1
128,3.97,99.25,1
129,4.87,121.75,1
130,8.75,218.75,1
131,5.51,137.75,1
132,3.53,88.25,1
133,8.35,208.75,1
134,6.55,163.75,1
135,4.75,118.75,1
136,3.29,82.25,1
137,7.8,195.0,1
138,3.77,94.25,1
139,8.82,220.5,1
140,9.83,245.75,1
141,4.97,124.25,1
142,7.93,198.25,1
143,6.51,162.75,1
144,5.31,132.75,1
145,4.98,124.50000000000001,1
146,7.65,191.25,1
147,3.11,77.75,1
148,7.91,197.75,1
149,9.52,238.0,1
150,8.29,207.24999999999997,1
151,3.21,80.25,1
152,9.24,231.0,1
153,7.61,190.25,1
154,6.4,160.0,1
155,4.42,110.5,1
156,7.06,176.5,1
157,7.07,176.75,1
158,4.66,116.5,1
159,6.52,163.0,1
160,4.98,124.50000000000001,1
161,6.15,153.75,1
162,7.66,191.5,1
163,5.51,137.75,1
164,3.28,82.0,1
165,4.51,112.75,1
166,6.62,165.5,1
167,7.67,191.75,1
168,4.24,106.0,1
169,9.16,229.0,1
170,9.67,241.75,1
171,6.37,159.25,1
172,3.89,97.25,1
173,7.16,179.0,1
174,8.9,222.5,1
175,9.55,238.75000000000003,1
176,7.05,176.25,1
177,3.31,82.75,1
178,6.48,162.0,1
179,8.16,204.0,1
180,4.47,111.75,1
181,3.97,99.25,1
