,a,b
0,1,1
1,2,4
2,3,9
3,4,16
4,5,25
5,6,36
6,7,49
7,8,64
8,9,81
9,10,100
10,11,121
11,12,144
12,13,169
13,14,196
14,15,225
15,16,256
16,17,289
17,18,324
18,19,361
19,20,400
20,21,441
21,22,484
22,23,529
23,24,576
24,25,625
25,26,676
26,27,729
27,28,784
28,29,841
29,30,900
30,31,961
31,32,1024
32,33,1089
33,34,1156
34,35,1225
35,36,1296
36,37,1369
37,38,1444
38,39,1521
39,40,1600
40,41,1681
41,42,1764
42,43,1849
43,44,1936
44,45,2025
45,46,2116
46,47,2209
47,48,2304
48,49,2401
49,50,2500
50,51,2601
51,52,2704
52,53,2809
53,54,2916
54,55,3025
55,56,3136
56,57,3249
57,58,3364
58,59,3481
59,60,3600
60,61,3721
61,62,3844
62,63,3969
63,64,4096
64,65,4225
65,66,4356
66,67,4489
67,68,4624
68,69,4761
69,70,4900
70,71,5041
71,72,5184
72,73,5329
73,74,5476
74,75,5625
75,76,5776
76,77,5929
77,78,6084
78,79,6241
79,80,6400
80,81,6561
81,82,6724
82,83,6889
83,84,7056
84,85,7225
85,86,7396
86,87,7569
87,88,7744
88,89,7921
89,90,8100
90,91,8281
91,92,8464
92,93,8649
93,94,8836
94,95,9025
95,96,9216
96,97,9409
97,98,9604
98,99,9801
99,100,10000
100,101,10201
101,102,10404
102,103,10609
103,104,10816
104,105,11025
105,106,11236
106,107,11449
107,108,11664
108,109,11881
109,110,12100
110,111,12321
111,112,12544
112,113,12769
113,114,12996
114,115,13225
115,116,13456
116,117,13689
117,118,13924
118,119,14161
119,120,14400
120,121,14641
121,122,14884
122,123,15129
123,124,15376
124,125,15625
125,126,15876
126,127,16129
127,128,16384
128,129,16641
129,130,16900
130,131,17161
131,132,17424
132,133,17689
133,134,17956
134,135,18225
135,136,18496
136,137,18769
137,138,19044
138,139,19321
139,140,19600
140,141,19881
141,142,20164
142,143,20449
143,144,20736
144,145,21025
145,146,21316
146,147,21609
147,148,21904
148,149,22201
149,150,22500
150,151,22801
151,152,23104
152,153,23409
153,154,23716
154,155,24025
155,156,24336
156,157,24649
157,158,24964
158,159,25281
159,160,25600
160,161,25921
161,162,26244
162,163,26569
163,164,26896
164,165,27225
165,166,27556
166,167,27889
167,168,28224
168,169,28561
169,170,28900
170,171,29241
171,172,29584
172,173,29929
173,174,30276
174,175,30625
175,176,30976
176,177,31329
177,178,31684
178,179,32041
179,180,32400
180,181,32761
181,182,33124
182,183,33489
183,184,33856
184,185,34225
185,186,34596
186,187,34969
187,188,35344
188,189,35721
189,190,36100
190,191,36481
191,192,36864
192,193,37249
193,194,37636
194,195,38025
195,196,38416
196,197,38809
197,198,39204
198,199,39601
199,200,40000
200,201,40401
